"id","url","name","season","number","type","airdate","airtime","airstamp","runtime","rating","summary","_links","_embedded","medium_image","original_image"
2730586,"https://www.tvmaze.com/episodes/2730586/neznost-2x01-seria-1","Серия 1",2,1,"regular","2024-01-01","","2023-12-31 19:00:00","23.0","NaN",NULL,"{""self"": {""href"": ""https://api.tvmaze.com/episodes/2730586""}, ""show"": {""href"": ""https://api.tvmaze.com/shows/51908"", ""name"": ""Нежность""}}","{""show"": {""id"": 51908, ""url"": ""https://www.tvmaze.com/shows/51908/neznost"", ""name"": ""Нежность"", ""type"": ""Scripted"", ""ended"": ""2024-01-01"", ""image"": {""medium"": ""https://static.tvmaze.com/uploads/images/medium_portrait/282/707449.jpg"", ""original"": ""https://static.tvmaze.com/uploads/images/original_untouched/282/707449.jpg""}, ""_links"": {""self"": {""href"": ""https://api.tvmaze.com/shows/51908""}, ""previousepisode"": {""href"": ""https://api.tvmaze.com/episodes/2730595"", ""name"": ""Серия 10""}}, ""genres"": [""Drama"", ""Comedy"", ""Romance""], ""rating"": {""average"": null}, ""status"": ""Ended"", ""weight"": 11, ""network"": null, ""runtime"": null, ""summary"": null, ""updated"": 1704215354, ""language"": ""Russian"", ""schedule"": {""days"": [], ""time"": """"}, ""externals"": {""imdb"": null, ""tvrage"": null, ""thetvdb"": null}, ""premiered"": ""2020-11-12"", ""dvdCountry"": null, ""webChannel"": {""id"": 337, ""name"": ""Иви"", ""country"": {""code"": ""RU"", ""name"": ""Russian Federation"", ""timezone"": ""Asia/Kamchatka""}, ""officialSite"": ""https://www.ivi.ru/""}, ""officialSite"": ""https://www.ivi.ru/watch/nezhnost"", ""averageRuntime"": 19}}",NULL,NULL
2730587,"https://www.tvmaze.com/episodes/2730587/neznost-2x02-seria-2","Серия 2",2,2,"regular","2024-01-01","","2023-12-31 19:00:00","20.0","NaN",NULL,"{""self"": {""href"": ""https://api.tvmaze.com/episodes/2730587""}, ""show"": {""href"": ""https://api.tvmaze.com/shows/51908"", ""name"": ""Нежность""}}","{""show"": {""id"": 51908, ""url"": ""https://www.tvmaze.com/shows/51908/neznost"", ""name"": ""Нежность"", ""type"": ""Scripted"", ""ended"": ""2024-01-01"", ""image"": {""medium"": ""https://static.tvmaze.com/uploads/images/medium_portrait/282/707449.jpg"", ""original"": ""https://static.tvmaze.com/uploads/images/original_untouched/282/707449.jpg""}, ""_links"": {""self"": {""href"": ""https://api.tvmaze.com/shows/51908""}, ""previousepisode"": {""href"": ""https://api.tvmaze.com/episodes/2730595"", ""name"": ""Серия 10""}}, ""genres"": [""Drama"", ""Comedy"", ""Romance""], ""rating"": {""average"": null}, ""status"": ""Ended"", ""weight"": 11, ""network"": null, ""runtime"": null, ""summary"": null, ""updated"": 1704215354, ""language"": ""Russian"", ""schedule"": {""days"": [], ""time"": """"}, ""externals"": {""imdb"": null, ""tvrage"": null, ""thetvdb"": null}, ""premiered"": ""2020-11-12"", ""dvdCountry"": null, ""webChannel"": {""id"": 337, ""name"": ""Иви"", ""country"": {""code"": ""RU"", ""name"": ""Russian Federation"", ""timezone"": ""Asia/Kamchatka""}, ""officialSite"": ""https://www.ivi.ru/""}, ""officialSite"": ""https://www.ivi.ru/watch/nezhnost"", ""averageRuntime"": 19}}",NULL,NULL
2730588,"https://www.tvmaze.com/episodes/2730588/neznost-2x03-seria-3","Серия 3",2,3,"regular","2024-01-01","","2023-12-31 19:00:00","19.0","NaN",NULL,"{""self"": {""href"": ""https://api.tvmaze.com/episodes/2730588""}, ""show"": {""href"": ""https://api.tvmaze.com/shows/51908"", ""name"": ""Нежность""}}","{""show"": {""id"": 51908, ""url"": ""https://www.tvmaze.com/shows/51908/neznost"", ""name"": ""Нежность"", ""type"": ""Scripted"", ""ended"": ""2024-01-01"", ""image"": {""medium"": ""https://static.tvmaze.com/uploads/images/medium_portrait/282/707449.jpg"", ""original"": ""https://static.tvmaze.com/uploads/images/original_untouched/282/707449.jpg""}, ""_links"": {""self"": {""href"": ""https://api.tvmaze.com/shows/51908""}, ""previousepisode"": {""href"": ""https://api.tvmaze.com/episodes/2730595"", ""name"": ""Серия 10""}}, ""genres"": [""Drama"", ""Comedy"", ""Romance""], ""rating"": {""average"": null}, ""status"": ""Ended"", ""weight"": 11, ""network"": null, ""runtime"": null, ""summary"": null, ""updated"": 1704215354, ""language"": ""Russian"", ""schedule"": {""days"": [], ""time"": """"}, ""externals"": {""imdb"": null, ""tvrage"": null, ""thetvdb"": null}, ""premiered"": ""2020-11-12"", ""dvdCountry"": null, ""webChannel"": {""id"": 337, ""name"": ""Иви"", ""country"": {""code"": ""RU"", ""name"": ""Russian Federation"", ""timezone"": ""Asia/Kamchatka""}, ""officialSite"": ""https://www.ivi.ru/""}, ""officialSite"": ""https://www.ivi.ru/watch/nezhnost"", ""averageRuntime"": 19}}",NULL,NULL
2730589,"https://www.tvmaze.com/episodes/2730589/neznost-2x04-seria-4","Серия 4",2,4,"regular","2024-01-01","","2023-12-31 19:00:00","21.0","NaN",NULL,"{""self"": {""href"": ""https://api.tvmaze.com/episodes/2730589""}, ""show"": {""href"": ""https://api.tvmaze.com/shows/51908"", ""name"": ""Нежность""}}","{""show"": {""id"": 51908, ""url"": ""https://www.tvmaze.com/shows/51908/neznost"", ""name"": ""Нежность"", ""type"": ""Scripted"", ""ended"": ""2024-01-01"", ""image"": {""medium"": ""https://static.tvmaze.com/uploads/images/medium_portrait/282/707449.jpg"", ""original"": ""https://static.tvmaze.com/uploads/images/original_untouched/282/707449.jpg""}, ""_links"": {""self"": {""href"": ""https://api.tvmaze.com/shows/51908""}, ""previousepisode"": {""href"": ""https://api.tvmaze.com/episodes/2730595"", ""name"": ""Серия 10""}}, ""genres"": [""Drama"", ""Comedy"", ""Romance""], ""rating"": {""average"": null}, ""status"": ""Ended"", ""weight"": 11, ""network"": null, ""runtime"": null, ""summary"": null, ""updated"": 1704215354, ""language"": ""Russian"", ""schedule"": {""days"": [], ""time"": """"}, ""externals"": {""imdb"": null, ""tvrage"": null, ""thetvdb"": null}, ""premiered"": ""2020-11-12"", ""dvdCountry"": null, ""webChannel"": {""id"": 337, ""name"": ""Иви"", ""country"": {""code"": ""RU"", ""name"": ""Russian Federation"", ""timezone"": ""Asia/Kamchatka""}, ""officialSite"": ""https://www.ivi.ru/""}, ""officialSite"": ""https://www.ivi.ru/watch/nezhnost"", ""averageRuntime"": 19}}",NULL,NULL
2730590,"https://www.tvmaze.com/episodes/2730590/neznost-2x05-seria-5","Серия 5",2,5,"regular","2024-01-01","","2023-12-31 19:00:00","20.0","NaN",NULL,"{""self"": {""href"": ""https://api.tvmaze.com/episodes/2730590""}, ""show"": {""href"": ""https://api.tvmaze.com/shows/51908"", ""name"": ""Нежность""}}","{""show"": {""id"": 51908, ""url"": ""https://www.tvmaze.com/shows/51908/neznost"", ""name"": ""Нежность"", ""type"": ""Scripted"", ""ended"": ""2024-01-01"", ""image"": {""medium"": ""https://static.tvmaze.com/uploads/images/medium_portrait/282/707449.jpg"", ""original"": ""https://static.tvmaze.com/uploads/images/original_untouched/282/707449.jpg""}, ""_links"": {""self"": {""href"": ""https://api.tvmaze.com/shows/51908""}, ""previousepisode"": {""href"": ""https://api.tvmaze.com/episodes/2730595"", ""name"": ""Серия 10""}}, ""genres"": [""Drama"", ""Comedy"", ""Romance""], ""rating"": {""average"": null}, ""status"": ""Ended"", ""weight"": 11, ""network"": null, ""runtime"": null, ""summary"": null, ""updated"": 1704215354, ""language"": ""Russian"", ""schedule"": {""days"": [], ""time"": """"}, ""externals"": {""imdb"": null, ""tvrage"": null, ""thetvdb"": null}, ""premiered"": ""2020-11-12"", ""dvdCountry"": null, ""webChannel"": {""id"": 337, ""name"": ""Иви"", ""country"": {""code"": ""RU"", ""name"": ""Russian Federation"", ""timezone"": ""Asia/Kamchatka""}, ""officialSite"": ""https://www.ivi.ru/""}, ""officialSite"": ""https://www.ivi.ru/watch/nezhnost"", ""averageRuntime"": 19}}",NULL,NULL
2712915,"https://www.tvmaze.com/episodes/2712915/uspesnyj-1x02-seria-2","Серия 2",1,2,"regular","2024-01-01","","2023-12-31 19:00:00","NaN","NaN",NULL,"{""self"": {""href"": ""https://api.tvmaze.com/episodes/2712915""}, ""show"": {""href"": ""https://api.tvmaze.com/shows/73221"", ""name"": ""Успешный""}}","{""show"": {""id"": 73221, ""url"": ""https://www.tvmaze.com/shows/73221/uspesnyj"", ""name"": ""Успешный"", ""type"": ""Scripted"", ""ended"": null, ""image"": {""medium"": ""https://static.tvmaze.com/uploads/images/medium_portrait/496/1241006.jpg"", ""original"": ""https://static.tvmaze.com/uploads/images/original_untouched/496/1241006.jpg""}, ""_links"": {""self"": {""href"": ""https://api.tvmaze.com/shows/73221""}, ""previousepisode"": {""href"": ""https://api.tvmaze.com/episodes/3098220"", ""name"": ""Серия 10""}}, ""genres"": [""Comedy""], ""rating"": {""average"": null}, ""status"": ""Running"", ""weight"": 6, ""network"": null, ""runtime"": null, ""summary"": ""<p>30-year-old Sasha is a serial loser trying with all his might to become a successful business coach. Fate leads him to billionaire Oleg Kalugin, who decides to hire the resilient dreamer as a coach. However, Kalugin does not need advice on business, which the guy knows nothing about, but the secret of his ability to sincerely enjoy life despite poverty and other problems. From this moment, drastic changes begin in Sasha's life, which show the real price of success. Step by step, he moves further and further away from happiness, plunging into the world of deception, betrayal, hatred and really big, but dirty money.</p>"", ""updated"": 1735808422, ""language"": ""Russian"", ""schedule"": {""days"": [], ""time"": """"}, ""externals"": {""imdb"": null, ""tvrage"": null, ""thetvdb"": null}, ""premiered"": ""2024-01-01"", ""dvdCountry"": null, ""webChannel"": {""id"": 423, ""name"": ""KION"", ""country"": {""code"": ""RU"", ""name"": ""Russian Federation"", ""timezone"": ""Asia/Kamchatka""}, ""officialSite"": ""https://kion.ru/""}, ""officialSite"": ""https://kion.ru/video/serial/822094895/season/822095042/episode/822094715"", ""averageRuntime"": null}}",NULL,NULL
2730591,"https://www.tvmaze.com/episodes/2730591/neznost-2x06-seria-6","Серия 6",2,6,"regular","2024-01-01","","2023-12-31 19:00:00","20.0","NaN",NULL,"{""self"": {""href"": ""https://api.tvmaze.com/episodes/2730591""}, ""show"": {""href"": ""https://api.tvmaze.com/shows/51908"", ""name"": ""Нежность""}}","{""show"": {""id"": 51908, ""url"": ""https://www.tvmaze.com/shows/51908/neznost"", ""name"": ""Нежность"", ""type"": ""Scripted"", ""ended"": ""2024-01-01"", ""image"": {""medium"": ""https://static.tvmaze.com/uploads/images/medium_portrait/282/707449.jpg"", ""original"": ""https://static.tvmaze.com/uploads/images/original_untouched/282/707449.jpg""}, ""_links"": {""self"": {""href"": ""https://api.tvmaze.com/shows/51908""}, ""previousepisode"": {""href"": ""https://api.tvmaze.com/episodes/2730595"", ""name"": ""Серия 10""}}, ""genres"": [""Drama"", ""Comedy"", ""Romance""], ""rating"": {""average"": null}, ""status"": ""Ended"", ""weight"": 11, ""network"": null, ""runtime"": null, ""summary"": null, ""updated"": 1704215354, ""language"": ""Russian"", ""schedule"": {""days"": [], ""time"": """"}, ""externals"": {""imdb"": null, ""tvrage"": null, ""thetvdb"": null}, ""premiered"": ""2020-11-12"", ""dvdCountry"": null, ""webChannel"": {""id"": 337, ""name"": ""Иви"", ""country"": {""code"": ""RU"", ""name"": ""Russian Federation"", ""timezone"": ""Asia/Kamchatka""}, ""officialSite"": ""https://www.ivi.ru/""}, ""officialSite"": ""https://www.ivi.ru/watch/nezhnost"", ""averageRuntime"": 19}}",NULL,NULL
2730592,"https://www.tvmaze.com/episodes/2730592/neznost-2x07-seria-7","Серия 7",2,7,"regular","2024-01-01","","2023-12-31 19:00:00","20.0","NaN",NULL,"{""self"": {""href"": ""https://api.tvmaze.com/episodes/2730592""}, ""show"": {""href"": ""https://api.tvmaze.com/shows/51908"", ""name"": ""Нежность""}}","{""show"": {""id"": 51908, ""url"": ""https://www.tvmaze.com/shows/51908/neznost"", ""name"": ""Нежность"", ""type"": ""Scripted"", ""ended"": ""2024-01-01"", ""image"": {""medium"": ""https://static.tvmaze.com/uploads/images/medium_portrait/282/707449.jpg"", ""original"": ""https://static.tvmaze.com/uploads/images/original_untouched/282/707449.jpg""}, ""_links"": {""self"": {""href"": ""https://api.tvmaze.com/shows/51908""}, ""previousepisode"": {""href"": ""https://api.tvmaze.com/episodes/2730595"", ""name"": ""Серия 10""}}, ""genres"": [""Drama"", ""Comedy"", ""Romance""], ""rating"": {""average"": null}, ""status"": ""Ended"", ""weight"": 11, ""network"": null, ""runtime"": null, ""summary"": null, ""updated"": 1704215354, ""language"": ""Russian"", ""schedule"": {""days"": [], ""time"": """"}, ""externals"": {""imdb"": null, ""tvrage"": null, ""thetvdb"": null}, ""premiered"": ""2020-11-12"", ""dvdCountry"": null, ""webChannel"": {""id"": 337, ""name"": ""Иви"", ""country"": {""code"": ""RU"", ""name"": ""Russian Federation"", ""timezone"": ""Asia/Kamchatka""}, ""officialSite"": ""https://www.ivi.ru/""}, ""officialSite"": ""https://www.ivi.ru/watch/nezhnost"", ""averageRuntime"": 19}}",NULL,NULL
2730593,"https://www.tvmaze.com/episodes/2730593/neznost-2x08-seria-8","Серия 8",2,8,"regular","2024-01-01","","2023-12-31 19:00:00","19.0","NaN",NULL,"{""self"": {""href"": ""https://api.tvmaze.com/episodes/2730593""}, ""show"": {""href"": ""https://api.tvmaze.com/shows/51908"", ""name"": ""Нежность""}}","{""show"": {""id"": 51908, ""url"": ""https://www.tvmaze.com/shows/51908/neznost"", ""name"": ""Нежность"", ""type"": ""Scripted"", ""ended"": ""2024-01-01"", ""image"": {""medium"": ""https://static.tvmaze.com/uploads/images/medium_portrait/282/707449.jpg"", ""original"": ""https://static.tvmaze.com/uploads/images/original_untouched/282/707449.jpg""}, ""_links"": {""self"": {""href"": ""https://api.tvmaze.com/shows/51908""}, ""previousepisode"": {""href"": ""https://api.tvmaze.com/episodes/2730595"", ""name"": ""Серия 10""}}, ""genres"": [""Drama"", ""Comedy"", ""Romance""], ""rating"": {""average"": null}, ""status"": ""Ended"", ""weight"": 11, ""network"": null, ""runtime"": null, ""summary"": null, ""updated"": 1704215354, ""language"": ""Russian"", ""schedule"": {""days"": [], ""time"": """"}, ""externals"": {""imdb"": null, ""tvrage"": null, ""thetvdb"": null}, ""premiered"": ""2020-11-12"", ""dvdCountry"": null, ""webChannel"": {""id"": 337, ""name"": ""Иви"", ""country"": {""code"": ""RU"", ""name"": ""Russian Federation"", ""timezone"": ""Asia/Kamchatka""}, ""officialSite"": ""https://www.ivi.ru/""}, ""officialSite"": ""https://www.ivi.ru/watch/nezhnost"", ""averageRuntime"": 19}}",NULL,NULL
2730594,"https://www.tvmaze.com/episodes/2730594/neznost-2x09-seria-9","Серия 9",2,9,"regular","2024-01-01","","2023-12-31 19:00:00","18.0","NaN",NULL,"{""self"": {""href"": ""https://api.tvmaze.com/episodes/2730594""}, ""show"": {""href"": ""https://api.tvmaze.com/shows/51908"", ""name"": ""Нежность""}}","{""show"": {""id"": 51908, ""url"": ""https://www.tvmaze.com/shows/51908/neznost"", ""name"": ""Нежность"", ""type"": ""Scripted"", ""ended"": ""2024-01-01"", ""image"": {""medium"": ""https://static.tvmaze.com/uploads/images/medium_portrait/282/707449.jpg"", ""original"": ""https://static.tvmaze.com/uploads/images/original_untouched/282/707449.jpg""}, ""_links"": {""self"": {""href"": ""https://api.tvmaze.com/shows/51908""}, ""previousepisode"": {""href"": ""https://api.tvmaze.com/episodes/2730595"", ""name"": ""Серия 10""}}, ""genres"": [""Drama"", ""Comedy"", ""Romance""], ""rating"": {""average"": null}, ""status"": ""Ended"", ""weight"": 11, ""network"": null, ""runtime"": null, ""summary"": null, ""updated"": 1704215354, ""language"": ""Russian"", ""schedule"": {""days"": [], ""time"": """"}, ""externals"": {""imdb"": null, ""tvrage"": null, ""thetvdb"": null}, ""premiered"": ""2020-11-12"", ""dvdCountry"": null, ""webChannel"": {""id"": 337, ""name"": ""Иви"", ""country"": {""code"": ""RU"", ""name"": ""Russian Federation"", ""timezone"": ""Asia/Kamchatka""}, ""officialSite"": ""https://www.ivi.ru/""}, ""officialSite"": ""https://www.ivi.ru/watch/nezhnost"", ""averageRuntime"": 19}}",NULL,NULL
